location,shot_number,shots_made,shot_made_streak,made_miss_streak
left_corner,1,0,0,miss_1
left_corner,2,1,1,make_1
left_corner,3,2,2,make_2
left_corner,4,3,3,make_3
left_corner,5,3,0,miss_1
left_corner,6,4,1,make_1
left_corner,7,4,2,make_2
left_corner,8,4,0,miss_1
left_corner,9,4,0,miss_2
left_corner,10,5,1,make_1
left_corner,11,6,2,make_2
left_corner,12,6,0,miss_1
left_corner,13,6,0,miss_2
left_corner,14,6,0,miss_3
left_corner,15,7,1,make_1
left_corner,16,7,0,miss_1
left_corner,17,8,1,make_1
left_corner,18,9,2,make_2
left_corner,19,10,3,make_3
left_corner,20,11,4,make_4
left_wing,21,12,5,make_5
left_wing,22,12,0,miss_1
left_wing,23,12,0,miss_2
left_wing,24,12,0,miss_3
left_wing,25,12,0,miss_4
left_wing,26,13,1,make_1
left_wing,27,13,0,miss_1
left_wing,28,13,0,miss_2
left_wing,29,14,1,make_1
left_wing,30,15,2,make_2
left_wing,31,16,3,make_3
left_wing,32,16,0,miss_1
left_wing,33,16,0,miss_2
left_wing,34,16,0,miss_3
left_wing,35,16,0,miss_4
left_wing,36,17,1,make_1
left_wing,37,18,2,make_2
left_wing,38,19,3,make_3
left_wing,39,19,0,miss_1
left_wing,40,20,1,make_1
top_key,41,21,2,make_2
top_key,42,21,0,miss_1
top_key,43,22,1,make_1
top_key,44,22,0,miss_1
top_key,45,22,0,miss_2
top_key,46,23,1,make_1
top_key,47,24,2,make_2
top_key,48,25,3,make_3
top_key,49,26,4,make_4
top_key,50,26,0,miss_1
top_key,51,26,0,miss_2
top_key,52,26,0,miss_3
top_key,53,27,1,make_1
top_key,54,27,0,miss_1
top_key,55,28,1,make_1
top_key,56,29,2,make_2
top_key,57,30,3,make_3
top_key,58,30,0,miss_1
top_key,59,30,0,miss_2
top_key,60,31,1,make_1
right_wing,61,31,0,miss_1
right_wing,62,31,0,miss_1
right_wing,63,32,1,make_1
right_wing,64,33,2,make_2
right_wing,65,34,3,make_3
right_wing,66,34,0,miss_1
right_wing,67,35,1,make_1
right_wing,68,35,0,miss_1
right_wing,69,35,0,miss_2
right_wing,70,35,0,miss_3
right_wing,71,36,1,make_1
right_wing,72,37,2,make_2
right_wing,73,38,3,make_3
right_wing,74,38,0,miss_1
right_wing,75,39,1,make_1
right_wing,76,40,2,make_2
right_wing,77,40,0,miss_1
right_wing,78,40,0,miss_2
right_wing,79,41,1,make_1
right_wing,80,42,0,miss_1
right_corner,81,42,0,miss_2
right_corner,82,43,1,make_1
right_corner,83,44,2,make_2
right_corner,84,45,3,make_3
right_corner,85,45,0,miss_1
right_corner,86,45,0,miss_2
right_corner,87,45,0,miss_3
right_corner,88,45,0,miss_4
right_corner,89,46,1,make_1
right_corner,90,47,2,make_2
right_corner,91,47,0,miss_1
right_corner,92,47,0,miss_2
right_corner,93,47,0,miss_3
right_corner,94,48,1,make_1
right_corner,95,48,0,miss_1
right_corner,96,48,0,miss_2
right_corner,97,49,1,make_1
right_corner,98,49,0,miss_1
right_corner,99,50,1,make_1
right_corner,100,50,0,miss_1