possession,player_name,shot_type,shot_value,shot_contestion ,field_goals_attempted,field_goals_made,three_pointers_attempted,three_pointers_made,make_miss,score
1,R,jumpshot,2,med,1,0,0,0,miss,0
2,R,layup,2,high,2,0,0,0,miss,0
3,R,jumpshot,2,low,3,1,0,0,make,2
4,R,layup,2,med,4,2,0,0,make,4
5,R,jumpshot,2,low,5,2,0,0,miss,4
6,R,fadeaway,2,low,6,3,0,0,make,6
7,R,layup,2,high,7,3,0,0,miss,6
8,R,fadeaway,2,low,8,3,0,0,miss,6
9,R,jumpshot,3,low,9,4,1,1,make,9
10,R,layup,2,high,10,4,1,1,miss,9
11,R,jumpshot,2,low,11,4,1,1,miss,9
12,R,jumpshot,2,med,12,5,1,1,make,11
13,R,layup,2,med,13,6,1,1,make,13
14,R,fadeaway,2,high,14,6,1,1,miss,13
15,R,jumpshot,3,low,15,6,2,1,miss,13
16,R,jumpshot,3,low,16,6,3,1,miss,13
17,R,jumpshot,2,low,17,6,3,1,miss,13
18,R,layup,2,med,18,7,3,1,make,15
19,R,layup,2,med,19,7,3,1,miss,15
20,R,jumpshot,3,low,20,7,4,1,miss,15
21,R,jumpshot,2,low,21,8,4,1,make,17
22,R,layup,2,high,22,8,4,1,miss,17
23,R,jumpshot,3,low,23,8,5,1,miss,17
24,R,fadeaway,2,med,24,8,5,1,miss,17
25,R,fadeaway,2,low,25,9,5,1,make,19
26,R,fadeaway,2,mid,26,10,5,1,make,21
27,R,jumpshot,3,low,27,10,6,1,miss,21
28,R,jumpshot,2,mid,28,10,6,1,miss,21
29,R,jumpshot,3,low,29,10,7,1,miss,21
30,R,jumpshot,2,low,30,10,7,1,miss,21
31,R,layup,2,high,31,10,7,1,miss,21
32,R,jumpshot,3,low,32,10,8,1,miss,21
33,R,layup,2,high,33,11,8,1,make,23
34,R,jumpshot,3,low,34,11,9,1,miss,23
35,R,layup,2,med,35,11,9,1,miss,23
36,R,layup,2,med,36,12,9,1,make,25
37,R,layup,2,high,37,12,9,1,miss,25
38,R,layup,2,high,38,12,9,1,miss,25
39,R,jumpshot,2,high,39,13,9,1,make,27
40,R,layup,2,med,40,14,9,1,make,29
41,R,fadeaway,2,low,41,14,9,1,miss,29
42,R,jumpshot,2,low,42,14,9,1,miss,29
43,R,fadeaway,2,high,43,15,9,1,make,31
44,R,jumpshot,3,low,44,15,10,1,miss,31
45,R,layup,2,med,45,16,10,1,make,33
46,R,layup,2,low,46,17,10,1,make,35
47,R,jumpshot,3,low,47,17,11,1,miss,35
48,R,layup,2,high,48,18,11,1,make,37
49,R,jumpshot,3,low,49,18,12,1,miss,37
50,R,jumpshot,3,low,50,18,13,1,miss,37
51,R,jumpshot,3,low,51,18,14,1,miss,37
52,R,layup,2,high,52,19,14,1,make,39
53,R,jumpshot,2,mid,53,19,14,1,miss,39
54,R,jumpshot,3,low,54,19,15,1,miss,39
55,R,layup,2,mid,55,20,15,1,make,41
56,R,jumpshot,2,low,56,20,15,1,miss,41
57,R,jumpshot,3,low,57,20,16,1,miss,41
58,R,fadeaway,2,high,58,21,16,1,make,43